B_Prose,B01,B01.003.004_AELS__Basil__T03040.txt,1535,999,5201
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,267,0.0513363
2,to,<code>to</code>,159,0.0305710
3,&thorn;a,<code>&amp;t;a</code>,152,0.0292251
4,he,<code>he</code>,114,0.0219189
5,se,<code>se</code>,111,0.0213420
6,mid,<code>mid</code>,110,0.0211498
7,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,99,0.0190348
8,on,<code>on</code>,96,0.0184580
9,his,<code>his</code>,93,0.0178812
10,&thorn;e,<code>&amp;t;e</code>,86,0.0165353
11,&thorn;am,<code>&amp;t;am</code>,78,0.0149971
12,him,<code>him</code>,67,0.0128821
13,swa,<code>swa</code>,51,0.0098058
14,&eth;a,<code>&amp;d;a</code>,50,0.0096135
14,hi,<code>hi</code>,50,0.0096135
16,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,45,0.0086522
17,&thorn;one,<code>&amp;t;one</code>,44,0.0084599
17,ic,<code>ic</code>,44,0.0084599
19,basilius,<code>basilius</code>,43,0.0082676
20,hine,<code>hine</code>,40,0.0076908
21,&thorn;u,<code>&amp;t;u</code>,39,0.0074986
22,ne,<code>ne</code>,35,0.0067295
23,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,30,0.0057681
23,w&aelig;s,<code>w&amp;ae;s</code>,30,0.0057681
25,ac,<code>ac</code>,29,0.0055759
26,&eth;am,<code>&amp;d;am</code>,27,0.0051913
26,wear&eth;,<code>wear&amp;d;</code>,27,0.0051913
28,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,25,0.0048068
28,gif,<code>gif</code>,25,0.0048068
30,be,<code>be</code>,24,0.0046145
31,eft,<code>eft</code>,22,0.0042300
31,heo,<code>heo</code>,22,0.0042300
33,&aelig;t,<code>&amp;ae;t</code>,21,0.0040377
33,&thorn;urh,<code>&amp;t;urh</code>,21,0.0040377
33,me,<code>me</code>,21,0.0040377
36,halgan,<code>halgan</code>,20,0.0038454
37,bisceop,<code>bisceop</code>,19,0.0036531
37,casere,<code>casere</code>,19,0.0036531
37,for,<code>for</code>,19,0.0036531
40,godes,<code>godes</code>,18,0.0034609
40,seo,<code>seo</code>,18,0.0034609
42,biscop,<code>biscop</code>,17,0.0032686
42,gode,<code>gode</code>,17,0.0032686
42,hw&aelig;t,<code>hw&amp;ae;t</code>,17,0.0032686
42,wolde,<code>wolde</code>,17,0.0032686
46,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,16,0.0030763
46,&thorn;onne,<code>&amp;t;onne</code>,16,0.0030763
46,com,<code>com</code>,16,0.0030763
46,ealle,<code>ealle</code>,16,0.0030763
50,&thorn;eah,<code>&amp;t;eah</code>,15,0.0028841
50,sona,<code>sona</code>,15,0.0028841
50,swi&eth;e,<code>swi&amp;d;e</code>,15,0.0028841
53,&aelig;fter,<code>&amp;ae;fter</code>,14,0.0026918
53,of,<code>of</code>,14,0.0026918
55,eode,<code>eode</code>,13,0.0024995
55,geleafan,<code>geleafan</code>,13,0.0024995
55,halga,<code>halga</code>,13,0.0024995
58,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,12,0.0023072
58,an,<code>an</code>,12,0.0023072
58,god,<code>god</code>,12,0.0023072
58,het,<code>het</code>,12,0.0023072
62,byrig,<code>byrig</code>,11,0.0021150
62,h&aelig;lend,<code>h&amp;ae;lend</code>,11,0.0021150
62,is,<code>is</code>,11,0.0021150
62,lare,<code>lare</code>,11,0.0021150
62,mihte,<code>mihte</code>,11,0.0021150
62,sylf,<code>sylf</code>,11,0.0021150
62,wif,<code>wif</code>,11,0.0021150
69,criste,<code>criste</code>,10,0.0019227
69,hyre,<code>hyre</code>,10,0.0019227
69,l&aelig;ce,<code>l&amp;ae;ce</code>,10,0.0019227
69,nu,<code>nu</code>,10,0.0019227
69,s&aelig;de,<code>s&amp;ae;de</code>,10,0.0019227
69,swylce,<code>swylce</code>,10,0.0019227
69,synna,<code>synna</code>,10,0.0019227
69,us,<code>us</code>,10,0.0019227
69,we,<code>we</code>,10,0.0019227
69,wife,<code>wife</code>,10,0.0019227
79,anre,<code>anre</code>,9,0.0017304
79,biddende,<code>biddende</code>,9,0.0017304
79,fram,<code>fram</code>,9,0.0017304
79,hu,<code>hu</code>,9,0.0017304
79,o&eth;,<code>o&amp;d;</code>,9,0.0017304
79,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,9,0.0017304
85,&eth;e,<code>&amp;d;e</code>,8,0.0015382
85,&eth;u,<code>&amp;d;u</code>,8,0.0015382
85,eac,<code>eac</code>,8,0.0015382
85,effrem,<code>effrem</code>,8,0.0015382
85,f&aelig;der,<code>f&amp;ae;der</code>,8,0.0015382
85,niht,<code>niht</code>,8,0.0015382
85,sum,<code>sum</code>,8,0.0015382
92,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,7,0.0013459
92,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,7,0.0013459
92,awrat,<code>awrat</code>,7,0.0013459
92,basilie,<code>basilie</code>,7,0.0013459
92,cartan,<code>cartan</code>,7,0.0013459
92,cnapan,<code>cnapan</code>,7,0.0013459
92,ferde,<code>ferde</code>,7,0.0013459
92,gehaten,<code>gehaten</code>,7,0.0013459
92,h&aelig;lende,<code>h&amp;ae;lende</code>,7,0.0013459
92,sceolde,<code>sceolde</code>,7,0.0013459
92,w&aelig;re,<code>w&amp;ae;re</code>,7,0.0013459
92,wer,<code>wer</code>,7,0.0013459
92,ymbe,<code>ymbe</code>,7,0.0013459
105,&thorn;as,<code>&amp;t;as</code>,6,0.0011536
105,basilium,<code>basilium</code>,6,0.0011536
105,d&aelig;l,<code>d&amp;ae;l</code>,6,0.0011536
105,eow,<code>eow</code>,6,0.0011536
105,fyrste,<code>fyrste</code>,6,0.0011536
105,gewryt,<code>gewryt</code>,6,0.0011536
105,handum,<code>handum</code>,6,0.0011536
105,mannum,<code>mannum</code>,6,0.0011536
105,mergen,<code>mergen</code>,6,0.0011536
105,mycclum,<code>mycclum</code>,6,0.0011536
105,mycelre,<code>mycelre</code>,6,0.0011536
105,ongean,<code>ongean</code>,6,0.0011536
105,sunu,<code>sunu</code>,6,0.0011536
105,ure,<code>ure</code>,6,0.0011536
105,wi&eth;,<code>wi&amp;d;</code>,6,0.0011536
105,ylcan,<code>ylcan</code>,6,0.0011536
121,&aelig;r,<code>&amp;ae;r</code>,5,0.0009614
121,&thorn;&aelig;m,<code>&amp;t;&amp;ae;m</code>,5,0.0009614
121,&thorn;es,<code>&amp;t;es</code>,5,0.0009614
121,&thorn;in,<code>&amp;t;in</code>,5,0.0009614
121,&thorn;ine,<code>&amp;t;ine</code>,5,0.0009614
121,&thorn;is,<code>&amp;t;is</code>,5,0.0009614
121,ane,<code>ane</code>,5,0.0009614
121,b&aelig;d,<code>b&amp;ae;d</code>,5,0.0009614
121,bisceope,<code>bisceope</code>,5,0.0009614
121,biscope,<code>biscope</code>,5,0.0009614
121,cydde,<code>cydde</code>,5,0.0009614
121,deofles,<code>deofles</code>,5,0.0009614
121,deofol,<code>deofol</code>,5,0.0009614
